gen,ind,L,objective_function_1,objective_function_2,constraint_ea_min,Ds,lc,ls,A_proj,A_nec,Nt,Nb,Re_t,Res,jl,js,jb,jr,jc,delta_PT,delta_Ps,hio,hs
1,1,7.848783788594932,300.62645272442796,95543.42952192173,-16.190853148827692,0.889,0.1579213910967718,1.3592175782004396,300.62645272442796,248.060348543999,480.0,5.0,35696.523682023646,6880.944420298358,0.9196035799622204,1.1666666666666667,0.9508450127154577,1.0,1.132582598981104,23562.465986092742,1552.3544919855315,1065.9388565699076,758.4053114803605
1,2,10.731579247147891,821.2319428201542,115829.44984060526,-95.98196437792943,1.2191999999999998,0.40573074145504495,1.3468562091558323,821.2319428201542,408.60977021594715,959.0,7.0,13400.154875420765,7064.327274197255,0.8764774968446645,1.125,0.9388401668418173,1.0,0.8699482371950258,3741.160560100496,1087.6395992942462,486.7650730640762,494.6173772321983
1,3,8.27666245375893,360.60477715553753,110252.94572349526,-17.48364292092218,0.889,0.25458096720995294,1.4283385562074187,360.60477715553753,294.4105584680813,546.0,5.0,23536.169460674933,9258.990122134901,0.8992219737209146,1.1666666666666667,0.925715522429175,1.0,0.9578649935373614,8541.272534319949,1864.0317421847928,763.8712773525187,678.958027366472
1,4,4.518196769348249,114.10966867518283,203272.83739286088,50.288250453852,0.635,0.19153749959450128,1.1886728342470967,114.10966867518283,208.56519782635385,422.0,3.0,69669.97398744118,4146.95821125624,0.9132887582384464,1.25,0.9285923455135121,1.0,0.9386045855894395,215194.59816257982,200.67076971894778,7089.139024710178,627.2658849556506
1,5,4.0363038731256236,56.52551980381542,334535.033143323,61.47528990400568,0.5334,0.08398155559967686,0.5900272335223488,56.52551980381542,129.8699512969705,234.0,6.0,109093.03250178014,16639.161447468952,0.8897884517464356,1.1428571428571428,0.9293532373260279,1.0,1.1824890541043271,356957.8221739204,10701.699030597438,3473.824728181091,1651.0534267714067
1,6,8.022849922849542,482.06681242003754,109770.45985554633,-61.7933535156275,0.889,0.16596460515183326,1.1065781046616465,482.06681242003754,289.02039695177115,1004.0,7.0,12713.032672020194,8875.814405395337,0.8292422416473275,1.125,0.9290642414765901,1.0,1.1160438385108638,5486.695458510607,5401.0946859430605,622.256757338946,917.3630641995316
1,7,7.3137251317934835,149.98759695372823,377229.9679560415,9.320965477800257,0.6858,0.15155892400617743,0.3467795256297758,149.98759695372823,156.7611940303679,257.0,21.0,115178.26312070846,15551.544001083457,0.7795815130748938,1.0454545454545454,0.9325859937283053,1.0,1.0781359958271624,391621.07080970495,2670.0128536634375,7949.039556256672,934.6451918958437
1,8,2.8090569575615807,29.924396479145923,6500957.8337234305,78.98628262757117,0.43815,0.06625617195271812,0.44920755556610237,29.924396479145923,115.03314213316514,178.0,6.0,330345.26991797955,20307.136410097904,0.7928047207773145,1.1428571428571428,0.8741127038429343,1.0,1.1889600606002106,6516531.184474731,3852.2607513002067,24622.46046591927,1575.5391091024833
1,9,6.853649753803555,345.6388681070763,115661.66966661229,6.227133140381522,0.9398,0.2981886245924372,1.078497287423975,345.6388681070763,349.93301206728927,632.0,6.0,14142.057350540386,11591.107255739322,0.8683600246013667,1.1428571428571428,0.9300159872854682,1.0,0.9022584054109739,2214.8445483078376,2781.7357850798785,508.2081549651082,696.9935713058476
1,10,3.432961027730567,18.490822740722596,72873.83564948973,91.96538870477771,0.33654999999999996,0.12370382817747509,0.6166337545135082,18.490822740722596,141.8594104720271,90.0,5.0,70910.47112615708,26181.55306250269,0.9445296485848975,1.1666666666666667,0.9017872633167572,1.0,0.8312743742554003,36325.21288309239,11459.20146741788,2461.1528569919606,1604.8799907821958
