gen,ind,L,objective_function_1,objective_function_2,constraint_ea_min,Ds,lc,ls,A_proj,A_nec,Nt,Nb,Re_t,Res,jl,js,jb,jr,jc,delta_PT,delta_Ps,hio,hs
1,1,4.10823970515302,22.947607073518643,246323.10738895595,86.56706435453968,0.38735,0.11085241914627428,0.675608274378464,22.947607073518643,124.49241680703307,70.0,6.0,183582.12179326452,34475.33518530059,0.9254650581658903,1.1428571428571428,0.9160564620118248,1.0,0.9897884349317401,269630.15201877063,11585.954629814703,3950.898406776438,1657.7169176332402
1,2,3.7558387863155605,50.35003926868892,111246.21134377958,78.2663002886206,0.48895,0.08681677017318665,0.9404809213317512,50.35003926868892,188.33921160286337,224.0,3.0,26833.101135126624,11195.310221940568,0.9298610202201452,1.25,0.9411307550302213,1.0,1.1472436328680056,5325.27928295958,4086.7593732608366,1131.1155816026594,1459.3853667969397
2,3,6.82879779330102,315.91380158032905,113422.50174776069,-4.571459926873153,0.889,0.15784867304215755,1.3330426849446493,315.91380158032905,288.3175982059257,773.0,5.0,15551.396259426552,4176.193809188779,0.9259367585275238,1.1666666666666667,0.9584790070828614,1.0,1.129175169885892,5882.884167578488,1352.8640846608287,731.1151798583896,749.3175324159643
2,4,3.7558387863155605,57.542902021358756,108191.57190812218,74.71114637672578,0.48895,0.08681677017318665,0.9404809213317512,57.542902021358756,189.98045530895328,256.0,3.0,24929.462505289597,15834.950808968273,0.8958158757358565,1.25,0.9090455861061219,1.0,1.1472436328680056,5431.1315031122085,7035.546588765619,1066.4503054266945,1569.708081742119
3,3,6.82879779330102,315.91380158032905,113422.50174776069,-4.571459926873153,0.889,0.15784867304215755,1.3330426849446493,315.91380158032905,288.3175982059257,773.0,5.0,15551.396259426552,4176.193809188779,0.9259367585275238,1.1666666666666667,0.9584790070828614,1.0,1.129175169885892,5882.884167578488,1352.8640846608287,731.1151798583896,749.3175324159643
3,6,10.145642435761514,1108.7284157329661,114330.38596247746,-181.7452180724859,1.3208,0.2345180285197769,1.3330426849446493,1108.7284157329661,386.65977524782727,1826.0,7.0,9875.051458272228,2766.4634116707384,0.8947818738105968,1.125,0.964318903289006,1.0,1.1218836761471955,5379.989049152265,947.8749883702659,505.24227618060144,544.203303858368
