gen,ind,L,objective_function_1,objective_function_2,constraint_ea_min,Ds,lc,ls,A_proj,A_nec,Nt,Nb,Re_t,Res,jl,js,jb,jr,jc,delta_PT,delta_Ps,hio,hs
1,1,16.205497281141028,2046.3959626688934,101623.05065074691,-364.3260667677514,1.4224,0.5028931635411935,1.3330426849446493,2046.3959626688934,436.0286179632899,2110.0,12.0,12098.46900730642,2558.653953517068,0.9042806612797749,1.0769230769230769,0.9669543716776843,1.0,0.8278418530347157,18258.218738180512,776.9806110725692,598.0735885683002,371.5966751006064
1,2,8.82693330651987,226.80326707063185,94956.50513912903,-32.82316637667412,0.7365999999999999,0.1737307097616187,0.3630487645915613,226.80326707063185,164.5610625798372,322.0,24.0,63936.524380211,19412.072403025195,0.70839446698917,1.04,0.9162310997552919,1.0,1.050820715554682,109782.4483706103,3104.853231481267,4963.836376271671,938.8341649558016
1,3,6.846484561548477,281.4940522294852,75577.07581960372,15.81306995519242,0.8382,0.2949372880132733,1.3330426849446493,281.4940522294852,315.6225380647841,687.0,5.0,40305.78351065136,2645.4892078220423,0.9230253800229836,1.1666666666666667,0.9743279939072108,1.0,0.8288187738380361,87387.30088967003,89.13507006632187,4575.6296859948425,362.8064126726783
1,4,7.476579253755652,238.9401054630303,99670.17526345528,18.34176095335578,0.6858,0.25240268250840947,1.3267366675575034,238.9401054630303,275.72693386305673,534.0,5.0,25927.034898705504,3413.654890020712,0.9227419733845876,1.1666666666666667,0.9248249122580166,1.0,0.8115261045954225,20814.331426704626,173.74330984009316,3214.8392090485177,452.14901548993413
1,5,5.415504221427334,205.15752986072405,118531.86537089589,66.0917430609704,0.7874,0.19700245518275558,1.0572073382719709,205.15752986072405,527.2853270764916,633.0,5.0,4747.720895946575,6022.674604309978,0.9180120990721768,1.1666666666666667,0.9517936594175953,1.0,1.0220791189878236,148.91518424519802,1977.4694448589157,237.52416346284113,833.0856401636856
1,6,2.4895268015960945,7.946216376582132,247009.85205438585,96.88845792033987,0.30479999999999996,0.0991145466519904,0.20253609288318392,7.946216376582132,97.96184620070512,40.0,12.0,223444.5061385381,153334.45926660276,0.8234875797962646,1.0769230769230769,0.8614458359183802,1.0,0.9319578207409365,241603.8825989319,126064.21945545393,4623.462071408598,3024.379725529871
1,7,1.623708320472367,3.1095879679603846,2028984.179697305,101.03163691951723,0.254,0.05634253799531996,0.19726563650069384,3.1095879679603846,78.35946219875831,24.0,8.0,558611.2653463454,279339.33860257844,0.7452894654623616,1.1111111111111112,0.7707438645843067,1.0,1.14493277880173,1948901.2266443735,200741.2030529313,9623.19544213034,4527.504151256859
1,8,5.774714596198601,58.98262325512703,256340.39421322418,63.67236688442512,0.48895,0.14944530286223184,0.791717980820128,58.98262325512703,142.71957721406173,128.0,7.0,139652.81633658631,31811.571778207275,0.8926492883657813,1.125,0.9247750889441797,1.0,0.9400687483784242,279282.8179598648,11221.333746640634,3174.4706282011607,1352.915937848283
1,9,9.742062980294765,450.8816032903064,115825.90204838461,-38.23597012179082,0.9398,0.2630495164255229,1.1924721355886365,450.8816032903064,314.78238525345995,580.0,8.0,17011.96185173683,4551.143387204596,0.8799849901297079,1.1111111111111112,0.9244325598922479,1.0,0.968908929499728,4664.856207232689,167.49174438270265,1721.1620359125552,415.71063835621794
1,10,4.287819951022431,185.27575469115547,175426.95789026385,19.402883673459506,0.7874,0.21577946940869394,1.2875110775785794,185.27575469115547,216.45093040793049,722.0,3.0,57527.85305779255,3787.816702633903,0.878722484149046,1.25,0.914542284629393,1.0,0.9814159368879556,187379.36173980118,231.31384953734147,6082.183347296054,592.9263992653398
2,2,8.82693330651987,226.80326707063185,94956.50513912903,-32.82316637667412,0.7365999999999999,0.1737307097616187,0.3630487645915613,226.80326707063185,164.5610625798372,322.0,24.0,63936.524380211,19412.072403025195,0.70839446698917,1.04,0.9162310997552919,1.0,1.050820715554682,109782.4483706103,3104.853231481267,4963.836376271671,938.8341649558016
2,14,8.044858323142915,458.3531298834671,85211.94933600348,-74.93640935190022,0.9906,0.32212227661896886,0.6917733693616512,458.3531298834671,254.73061929732603,952.0,11.0,25254.683421295646,7193.140079599919,0.8797578468040368,1.0833333333333333,0.956372567584917,1.0,0.8843398412266791,31976.088166910413,3470.212497086103,1077.5658864310788,717.5274721309677
2,16,12.783834443925329,1005.3131320754471,75891.68488253289,-250.35049997040397,1.0668,0.3936871074305978,0.5257947625119164,1005.3131320754471,282.9074764659615,1314.0,24.0,21073.115123148767,5369.912795393818,0.7632723643499977,1.04,0.9509172325291004,1.0,0.8019759974815351,43891.333802321686,875.2313151454316,2723.5789342748863,447.04159933683593
2,11,7.476579253755652,239.83501222506416,452638.0763927096,-18.46080301175641,0.6858,0.1256617726226647,1.3328492860686094,239.83501222506416,194.26004559700309,536.0,5.0,77490.87669351907,4238.462053701041,0.8804690048858008,1.1666666666666667,0.9092646104869965,1.0,1.131027702103927,464719.5789834482,360.4125907385936,7718.9358938134155,680.3036121196326
2,19,7.375822709107753,400.2238553098275,107985.54818193112,-23.781718281623057,1.0668,0.2669065521830882,1.5455361374537708,400.2238553098275,310.7769182226689,680.0,4.0,25197.546128487284,4991.464471993345,0.9217715639299343,1.2,0.9513452178375985,1.0,1.015634622007945,11918.767036546127,753.9347815227513,806.7113244606121,578.7575155710982
2,15,12.599377300796947,836.2294924849757,98691.62617480048,-155.10485795323234,1.0668,0.292668310072463,1.3330426849446493,836.2294924849757,321.4970681690737,1109.0,9.0,17264.046171381797,4878.818434991275,0.8906999376885353,1.1,0.9460235936772093,1.0,0.9723994487044003,20609.681136635223,1356.9426885643088,794.8485056147725,553.3791094626749
2,9,9.742062980294765,450.8816032903064,115825.90204838461,-38.23597012179082,0.9398,0.2630495164255229,1.1924721355886365,450.8816032903064,314.78238525345995,580.0,8.0,17011.96185173683,4551.143387204596,0.8799849901297079,1.1111111111111112,0.9244325598922479,1.0,0.968908929499728,4664.856207232689,167.49174438270265,1721.1620359125552,415.71063835621794
2,13,7.684131029137876,427.22369170493306,119401.82333802339,-16.308647755681463,0.9398,0.2661400925126654,1.1924721355886365,427.22369170493306,352.179089956861,929.0,6.0,7451.580536011163,2710.898452378391,0.8914076129913984,1.1428571428571428,0.9452087914808274,1.0,0.9604144976838308,1138.9248048527093,117.50185712391449,1185.6477851609416,392.8190793074758
2,1,16.205497281141028,2046.3959626688934,101623.05065074691,-364.3260667677514,1.4224,0.5028931635411935,1.3330426849446493,2046.3959626688934,436.0286179632899,2110.0,12.0,12098.46900730642,2558.653953517068,0.9042806612797749,1.0769230769230769,0.9669543716776843,1.0,0.8278418530347157,18258.218738180512,776.9806110725692,598.0735885683002,371.5966751006064
2,18,8.681937369496795,297.89875861691894,56909.039498328915,8.286161564721551,0.8382,0.2949372880132733,1.419891955589836,297.89875861691894,308.0208204292034,430.0,6.0,47878.0484893673,4172.441927576201,0.9190321559914594,1.1428571428571428,0.9746423503139372,1.0,0.830965419212679,63637.52203388575,111.68846778533798,3938.4686262336804,379.0062556968236
